動画ID,動画タイトル,中分類・領域,評価フォームURL,Record Count
DISE-183,分娩中の肩甲難産（チーム対応）,産婦人科,▶ 評価する,1
DISE-184,卵巣嚢腫茎捻転,産婦人科,▶ 評価する,1
DISE-185,気道異物吸引（小児・気管支）,小児・耳鼻科,▶ 評価する,1
DISE-186,脊髄圧迫症候群,腫瘍・神経,▶ 評価する,1
DISE-187,産後大出血（PPHへの初期対応）,産婦人科,▶ 評価する,1
DISE-188,ギラン・バレー症候群（GBS）,脳神経内科,▶ 評価する,1
DISE-189,敗血症の1時間バンドル,救急,▶ 評価する,1
DISE-190,肥厚性幽門狭 Cedric 窄症,小児外科,▶ 評価する,1
DISE-192,羊水塞栓症,産婦人科,▶ 評価する,1
DISE-193,血栓性血小板減少性紫斑病（TTP）,血液,▶ 評価する,1
DISE-195,急性肢虚血（Blue Toe）,血管外科,▶ 評価する,1
DISE-196,高浸透圧高血糖状態（HHS）,糖尿病・代謝,▶ 評価する,1
DISE-197,劇症肝炎,消化器,▶ 評価する,1
DISE-199,急性虚血性腸炎,消化器,▶ 評価する,1
DISE-200,多臓器不全（MODS）,集中治療,▶ 評価する,1
DISE-201,副腎不全（アジソン病）,内分泌,▶ 評価する,1
DISE-202,播種性血管内凝固（DIC）,血液,▶ 評価する,1
DISE-203,慢性閉塞性動脈疾患（ASO/PAD）,血管・循環器,▶ 評価する,1
DISE-204,ヘノッホ・シェーンライン紫斑病（小児）,小児科・皮膚,▶ 評価する,1
DISE-205,筋萎縮性側索硬化症（ALS）,脳神経内科,▶ 評価する,1
DISE-206,脳梗塞：t-PA静注療法の開始,脳神経内科,▶ 評価する,1
DISE-207,食物依存性運動誘発アナフィラキシー,アレルギー,▶ 評価する,1
DISE-210,新生児一過性多呼吸（TTN）,小児・新生児,▶ 評価する,1
DISE-213,クッシング症候群,内分泌,▶ 評価する,1
DISE-226,異所性妊娠の緊急診断,産婦人科,▶ 評価する,1
DISE-227,胞状奇胎とhCG値の推移,産婦人科,▶ 評価する,1
DISE-228,頚管無力症と頚管縫縮術,産婦人科,▶ 評価する,1
DISE-229,流産・切迫流産の診断と対応,産婦人科,▶ 評価する,1
DISE-230,多胎妊娠の管理とリスク説明,産婦人科,▶ 評価する,1
DISE-231,前期破水（PROM）の検査,産婦人科,▶ 評価する,1
DISE-232,妊娠糖尿病（GDM）の管理,代謝・産科,▶ 評価する,1
DISE-233,子宮復古不全と産褥熱,産婦人科,▶ 評価する,1
DISE-234,新生児黄疸と光線療法,小児科,▶ 評価する,1
DISE-235,呼吸窮迫症候群（RDS）とサーファクタント,小児科,▶ 評価する,1
DISE-236,胎便吸引症候群（MAS）,小児科,▶ 評価する,1
DISE-237,新生児の低血糖とけいれん,小児科,▶ 評価する,1
DISE-238,Down症候群の身体的特徴と診察,小児科・遺伝,▶ 評価する,1
DISE-239,Turner症候群と低身長,小児科・遺伝,▶ 評価する,1
DISE-240,統合失調症（妄想型）の面談,精神科,▶ 評価する,1
DISE-349,片頭痛の拍動性頭痛とトリプタン,脳神経,▶ 評価する,1
DISE-242,双極性障害の躁状態管理,精神科,▶ 評価する,1
DISE-243,パニック発作への急性期対応,精神科,▶ 評価する,1
DISE-244,PTSDと心的外傷後の面談,精神科,▶ 評価する,1
DISE-245,神経性やせ症の身体管理,精神科・内科,▶ 評価する,1
DISE-246,睡眠時無呼吸症候群（SAS）のCPAP指導,呼吸器,▶ 評価する,1
DISE-247,自閉スペクトラム症（ASD）の特性理解,小児・精神,▶ 評価する,1
DISE-248,注意欠如多動性障害（ADHD）の特性,小児・精神,▶ 評価する,1
DISE-249,アトピー性皮膚炎のステロイド外用指導,皮膚科,▶ 評価する,1
DISE-250,蕁麻疹の初期診断と薬物療法,皮膚科,▶ 評価する,1
DISE-251,帯状疱疹とデルマトーム,皮膚科,▶ 評価する,1
DISE-252,白癬と真菌検査の手順,皮膚科,▶ 評価する,1
DISE-253,円形脱毛症の視診と治療説明,皮膚科,▶ 評価する,1
DISE-254,緑内障（急性閉塞隅角緑内障）,眼科,▶ 評価する,1
DISE-255,網膜剥離の視野欠損と緊急性,眼科,▶ 評価する,1
DISE-256,白内障の視力低下と手術説明,眼科,▶ 評価する,1
DISE-257,急性中耳炎の鼓膜所見,耳鼻科,▶ 評価する,1
DISE-258,滲出性中耳炎の聴力管理,耳鼻科,▶ 評価する,1
DISE-259,メニエール病のめまいと眼振,耳鼻科,▶ 評価する,1
DISE-260,顔面神経麻痺（ベル麻痺）の評価,耳鼻科・神経,▶ 評価する,1
DISE-179,重症筋無力症（クリーゼ）,脳神経内科,▶ 評価する,1
DISE-263,突発性難聴の早期受診とステロイド,耳鼻科,▶ 評価する,1
DISE-264,流行性耳下腺炎（ムンプス）,感染症・小児,▶ 評価する,1
DISE-265,市中肺炎のCURB-65評価,呼吸器,▶ 評価する,1
DISE-266,肺結核の感染対策とDOTS,呼吸器・感染症,▶ 評価する,1
DISE-267,慢性閉塞性肺疾患（COPD）の肺機能検査,呼吸器,▶ 評価する,1
DISE-268,気管支喘息のピークフロー管理,呼吸器,▶ 評価する,1
DISE-269,気胸（自然気胸）の胸部X線読影,呼吸器,▶ 評価する,1
DISE-270,睡眠時無呼吸（SAS）の簡易検査,呼吸器,▶ 評価する,1
DISE-271,心不全のNYHA分類と身体所見,循環器,▶ 評価する,1
DISE-272,発作性上室頻拍（PSVT）の息こらえ,循環器,▶ 評価する,1
DISE-273,心房細動（AF）と血栓塞栓症予防,循環器,▶ 評価する,1
DISE-274,心室中隔欠損症（VSD）の収縮期雑音,循環器・小児,▶ 評価する,1
DISE-275,大動脈弁閉鎖不全症（AR）の拡張期雑音,循環器,▶ 評価する,1
DISE-276,感染性心内膜炎（IE）と心雑音,循環器・感染症,▶ 評価する,1
DISE-277,狭心症（労作性）の問診とニトロ,循環器,▶ 評価する,1
DISE-278,急性心筋梗塞のST上昇と緊急処置,循環器・救急,▶ 評価する,1
DISE-279,心筋症（肥大型）の家族歴と心音,循環器,▶ 評価する,1
DISE-280,心膜炎の摩擦音と心電図変化,循環器,▶ 評価する,1
DISE-281,本態性高血圧の生活指導,循環器,▶ 評価する,1
DISE-282,腹部大動脈瘤の破裂リスク説明,血管,▶ 評価する,1
DISE-283,大動脈解離の激痛とStanford分類,血管・救急,▶ 評価する,1
DISE-284,深部静脈血栓症（DVT）と下腿腫脹,血管・救急,▶ 評価する,1
DISE-285,逆流性食道炎と内視鏡所見,消化器,▶ 評価する,1
DISE-286,胃潰瘍・十二指腸潰瘍の腹痛,消化器,▶ 評価する,1
DISE-287,胃がんの早期発見と検診,消化器,▶ 評価する,1
DISE-288,便秘症（機能性）の食事・生活指導,消化器,▶ 評価する,1
DISE-289,過敏性腸症候群（IBS）の腹痛と排便,消化器,▶ 評価する,1
DISE-290,感染性腸炎（ウイルス・細菌）の対応,消化器・感染症,▶ 評価する,1
DISE-291,大腸ポリープと大腸がんの内視鏡,消化器,▶ 評価する,1
DISE-292,痔核（いぼ痔）の診察と排便指導,消化器・外科,▶ 評価する,1
DISE-293,A型肝炎・B型肝炎の感染経路,消化器・感染症,▶ 評価する,1
DISE-294,慢性肝炎と肝細胞がんのスクリーニング,消化器,▶ 評価する,1
DISE-295,アルコール性肝障害と禁酒指導,消化器,▶ 評価する,1
DISE-296,胆石症の疝痛発作とエコー,消化器,▶ 評価する,1
DISE-297,急性胆嚢炎のマーフィー徴候,消化器,▶ 評価する,1
DISE-298,急性膵炎の背部痛とアミラーゼ,消化器,▶ 評価する,1
DISE-299,膵がんの早期徴候（黄疸・糖尿病増悪）,消化器,▶ 評価する,1
DISE-300,鼠径ヘルニアの脱出と還納,外科,▶ 評価する,1
DISE-301,急性糸球体腎炎の乏尿と血尿,腎・泌尿器,▶ 評価する,1
DISE-302,ネフローゼ症候群（微小変化型）,腎・泌尿器,▶ 評価する,1
DISE-303,糖尿病腎症の病期分類と透析,腎・泌尿器,▶ 評価する,1
DISE-304,急性腎障害（AKI）の腎前性・腎性鑑別,腎・泌尿器,▶ 評価する,1
DISE-305,慢性腎臓病（CKD）の生活指導,腎・泌尿器,▶ 評価する,1
DISE-306,低ナトリウム血症とSIADH,腎・泌尿器,▶ 評価する,1
DISE-307,高カリウム血症の心電図変化,腎・泌尿器,▶ 評価する,1
DISE-308,尿路結石の疝痛発作と血尿,腎・泌尿器,▶ 評価する,1
DISE-309,急性腎盂腎炎とCVA叩打痛,腎・泌尿器,▶ 評価する,1
DISE-310,膀胱炎の頻尿と排尿時痛,腎・泌尿器,▶ 評価する,1
DISE-311,前立腺肥大症（BPH）の排尿障害,腎・泌尿器,▶ 評価する,1
DISE-312,前立腺がんのPSAスクリーニング,腎・泌尿器,▶ 評価する,1
DISE-313,精巣捻転症の緊急手術,腎・泌尿器,▶ 評価する,1
DISE-314,子宮頸がん（CIN）とHPVワクチン,産婦人科,▶ 評価する,1
DISE-315,子宮体がんの不正出血とリスク,産婦人科,▶ 評価する,1
DISE-316,子宮筋腫の過多月経と手術,産婦人科,▶ 評価する,1
DISE-317,卵巣腫瘍（皮様嚢腫）と茎捻転,産婦人科,▶ 評価する,1
DISE-318,子宮内膜症の月経困難症,産婦人科,▶ 評価する,1
DISE-319,更年期障害のホットフラッシュ,産婦人科,▶ 評価する,1
DISE-320,乳がん（浸潤性乳管がん）のしこり,乳腺外科,▶ 評価する,1
DISE-321,乳腺炎の授乳指導,乳腺外科,▶ 評価する,1
DISE-322,鉄欠乏性貧血のさじ状爪,血液,▶ 評価する,1
DISE-323,巨赤芽球性貧血（ビタミンB12欠乏）,血液,▶ 評価する,1
DISE-324,溶血性貧血（AIHA）の直接クームス,血液,▶ 評価する,1
DISE-325,急性骨髄性白血病（AML）の芽球,血液,▶ 評価する,1
DISE-326,慢性骨髄性白血病（CML）の染色体,血液,▶ 評価する,1
DISE-327,悪性リンパ腫の無痛性リンパ節腫脹,血液,▶ 評価する,1
DISE-328,多発性骨髄腫（MM）の骨痛とM蛋白,血液,▶ 評価する,1
DISE-329,特発性血小板減少性紫斑病（ITP）,血液,▶ 評価する,1
DISE-330,播種性血管内凝固（DIC）の基礎疾患,血液,▶ 評価する,1
DISE-331,血友病（A/B）の関節内出血,血液,▶ 評価する,1
DISE-332,バセドウ病（Basedow）の眼球突出,内分泌,▶ 評価する,1
DISE-333,橋本病（慢性甲状腺炎）の粘液水腫,内分泌,▶ 評価する,1
DISE-334,副甲状腺機能亢進症と高Ca血症,内分泌,▶ 評価する,1
DISE-335,クッシング症候群の満月様顔貌,内分泌,▶ 評価する,1
DISE-336,原発性アルドステロン症と低K血症,内分泌,▶ 評価する,1
DISE-337,褐色細胞腫の3徴（頭痛・発汗・動悸）,内分泌,▶ 評価する,1
DISE-338,1型糖尿病のインスリン依存状態,代謝,▶ 評価する,1
DISE-339,2型糖尿病の食事・運動・薬物,代謝,▶ 評価する,1
DISE-340,糖尿病ケトアシドーシス（DKA）の治療,代謝・救急,▶ 評価する,1
DISE-341,脂質異常症（高LDL血症）とスタチン,代謝,▶ 評価する,1
DISE-342,痛風発作とコルヒチン,代謝,▶ 評価する,1
DISE-343,高血圧性脳出血（被殻出血）,脳神経,▶ 評価する,1
DISE-344,くも膜下出血（SAH）の突然の頭痛,脳神経,▶ 評価する,1
DISE-345,脳梗塞（アテローム血栓性）の管理,脳神経,▶ 評価する,1
DISE-346,パーキンソン病（PD）の無動と振戦,脳神経,▶ 評価する,1
DISE-347,アルツハイマー型認知症の物忘れ,精神・神経,▶ 評価する,1
DISE-348,てんかん（全般・焦点）の脳波,精神・神経,▶ 評価する,1
PROC-099,基本手技：尿検査（試験紙法）,基本手技,▶ 評価する,1
DISE-350,緊張型頭痛と筋緊張緩和,脳神経,▶ 評価する,1
DISE-351,腰椎椎間板ヘルニアとSLRテスト,整形外科,▶ 評価する,1
DISE-352,腰部脊柱管狭窄症と間欠性跛行,整形外科,▶ 評価する,1
DISE-353,変形性関節症（OA）の膝痛,整形外科,▶ 評価する,1
DISE-354,骨粗鬆症の圧迫骨折とDXA,整形外科,▶ 評価する,1
DISE-355,大腿骨近位部骨折の歩行不能,整形外科,▶ 評価する,1
DISE-356,橈骨遠位端骨折（Colles骨折）,整形外科,▶ 評価する,1
DISE-357,肩関節脱臼の反復性と整復,整形外科,▶ 評価する,1
DISE-358,肘内障の小児と整復手技,整形外科,▶ 評価する,1
DISE-359,アナフィラキシーのアドレナリン筋注,アレルギー,▶ 評価する,1
DISE-360,食物・薬物アレルギーの負荷試験,アレルギー,▶ 評価する,1
DISE-361,関節リウマチ（RA）の朝のこわばり,膠原病,▶ 評価する,1
DISE-362,全身性エリテマトーデス（SLE）と蝶形紅斑,膠原病,▶ 評価する,1
DISE-363,全身性強皮症（SSc）とレイノー現象,膠原病,▶ 評価する,1
DISE-364,皮膚筋炎（DM）とゴットロン徴候,膠原病,▶ 評価する,1
DISE-365,シェーグレン症候群（SjS）の乾燥症状,膠原病,▶ 評価する,1
DISE-366,ベーチェット病（Behçet）の4主症状,膠原病,▶ 評価する,1
DISE-367,インフルエンザの迅速抗原検査,感染症,▶ 評価する,1
DISE-368,麻疹（はしか）のコプリック斑,感染症,▶ 評価する,1
DISE-369,風疹（三日はしか）と先天性風疹症候群,感染症,▶ 評価する,1
DISE-370,水痘（水ぼうそう）の多多彩な発疹,感染症,▶ 評価する,1
DISE-371,HIV・AIDSの指標疾患,感染症,▶ 評価する,1
DISE-372,食中毒（カンピロバクター・ノロ）,感染症,▶ 評価する,1
DISE-373,梅毒の硬性下疳とバラ疹,感染症,▶ 評価する,1
DISE-374,結核の排菌と隔離予防策,感染症,▶ 評価する,1
DISE-375,マラリアの熱周期と予防薬,感染症,▶ 評価する,1
DISE-376,急性アルコール中毒の呼吸抑制,救急,▶ 評価する,1
DISE-377,アルコール依存症の離脱症状,精神科,▶ 評価する,1
DISE-378,睡眠薬（ベンゾジアゼピン系）中毒,救急,▶ 評価する,1
DISE-379,熱中症の重症度分類と冷却,救急,▶ 評価する,1
DISE-380,低体温症の加温法（受動・能動）,救急,▶ 評価する,1
DISE-381,減圧症の関節痛と高気圧酸素,環境,▶ 評価する,1
DISE-382,高山病の頭痛と高度順応,環境,▶ 評価する,1
DISE-383,急性放射線障害（造血器・消化器）,放射線,▶ 評価する,1
DISE-384,交通事故の外傷初期診療（JATE）,救急,▶ 評価する,1
DISE-385,家庭内事故（転倒・誤飲）の予防,老年期・小児,▶ 評価する,1
DISE-386,統合失調症の陽性・陰性症状,精神科,▶ 評価する,1
DISE-387,抑うつ状態と休養の重要性,精神科,▶ 評価する,1
DISE-388,心的外傷後ストレス障害（PTSD）,精神科,▶ 評価する,1
DISE-262,喉頭がんの嗄声と内視鏡診断,耳鼻科,▶ 評価する,1
DISE-391,ADHDの不注意と衝動性,小児・精神,▶ 評価する,1
DISE-392,アトピー性皮膚炎のバリア機能,皮膚科,▶ 評価する,1
DISE-393,蕁麻疹の膨疹と一過性,皮膚科,▶ 評価する,1
DISE-394,帯状疱疹の痛みと水疱,皮膚科,▶ 評価する,1
DISE-395,足白癬（水虫）の抗真菌薬,皮膚科,▶ 評価する,1
DISE-396,円形脱毛症の単発・多発型,皮膚科,▶ 評価する,1
DISE-397,緑内障（慢性）の視野欠損,眼科,▶ 評価する,1
DISE-398,網膜剥離の硝子体手術,眼科,▶ 評価する,1
DISE-399,白内障の加齢変化と手術,眼科,▶ 評価する,1
DISE-400,急性中耳炎の耳痛と鼓膜切開,耳鼻科,▶ 評価する,1
DISE-401,滲出性中耳炎の難聴と通気療法,耳鼻科,▶ 評価する,1
DISE-402,メニエール病の内リンパ水腫,耳鼻科,▶ 評価する,1
DISE-403,顔面神経麻痺（Bell麻痺）,耳鼻科・神経,▶ 評価する,1
DISE-404,急性副鼻腔炎の鼻閉と後鼻漏,耳鼻科,▶ 評価する,1
DISE-405,喉頭がんの嗄声とファイバー,耳鼻科,▶ 評価する,1
DISE-406,ANCA関連血管炎,リウマチ内科,▶ 評価する,1
DISE-407,血友病と関節内出血,血液・リハ,▶ 評価する,1
DISE-408,ナルコレプシーと睡眠衛生,精神・神経科,▶ 評価する,1
DISE-410,消化管間質腫瘍（GIST）,消化器外科,▶ 評価する,1
DISE-412,小児の熱性けいれん：保護者への事後指導,小児科,▶ 評価する,1
DISE-415,筋痛性脳脊髄炎 / 慢性疲労症候群（ME/CFS）,一般内科,▶ 評価する,1
DISE-416,全身性アミロイドーシス,一般内科,▶ 評価する,1
DISE-417,労作性熱中症と多臓器不全,救急,▶ 評価する,1
DISE-418,胃切除後症候群（ダンピング症候群）,消化器外科,▶ 評価する,1
DISE-419,双極性障害（躁状態の評価）,精神科,▶ 評価する,1
DISE-420,小児のRSウイルス・細気管支炎,小児科,▶ 評価する,1
DISE-422,天疱瘡・類天疱瘡,皮膚科,▶ 評価する,1
DISE-423,一過性全健忘（TGA）,脳神経内科,▶ 評価する,1
DISE-426,甲状腺クリーゼ,内分泌・救急,▶ 評価する,1
DISE-427,川崎病,小児科,▶ 評価する,1
DISE-428,網膜静脈閉塞症,眼科,▶ 評価する,1
DISE-430,アルコール離脱症候群・震戦せん妄,精神科・救急,▶ 評価する,1
DISE-432,悪性黒色腫,皮膚科,▶ 評価する,1
DISE-433,急性憩室炎,消化器,▶ 評価する,1
DISE-435,心筋梗塞後・カテーテル治療後の回復期管理,循環器,▶ 評価する,1
DISE-436,ブルガダ症候群,循環器,▶ 評価する,1
DISE-437,代謝性アシドーシスとクスマウル呼吸,救急・代謝,▶ 評価する,1
DISE-439,腸回転異常症・中腸軸捻転,小児外科,▶ 評価する,1
DISE-440,コンパートメント症候群,整形外科,▶ 評価する,1
DISE-441,メタノール中毒,救急・中毒,▶ 評価する,1
DISE-442,胃軸捻転,消化器,▶ 評価する,1
DISE-446,リフィーディング症候群,代謝・栄養,▶ 評価する,1
DISE-447,ウェルニッケ脳症,脳神経内科,▶ 評価する,1
DISE-449,心停止後症候群（PCAS）と体温管理療法,救急・集中治療,▶ 評価する,1
DISE-451,側頭動脈炎（巨細胞性動脈炎）,膠原病,▶ 評価する,1
DISE-452,悪性症候群,精神科・救急,▶ 評価する,1
DISE-456,骨髄異形成症候群（MDS）と高齢者の貧血,血液,▶ 評価する,1
DISE-457,網膜中央動脈閉塞症（CRAO）,眼科,▶ 評価する,1
DISE-458,セロトニン症候群,精神科・救急,▶ 評価する,1
DISE-459,正常圧水頭症（NPH）,脳神経外科,▶ 評価する,1
DISE-461,成人のIgA血管炎（HSP）,膠原病・腎臓,▶ 評価する,1
DISE-463,糖尿病性足病変と骨髄炎,糖尿病・外科,▶ 評価する,1
DISE-466,ワーキング・ショック（Walking Shock）の認知,救急,▶ 評価する,1
DISE-468,高齢者の「無痛性」心筋梗塞（Silent MI）,循環器・老年期,▶ 評価する,1
DISE-472,虐待による頭部外傷（揺さぶられっ子）,小児科・法医学,▶ 評価する,1
DISE-473,医原性気胸（中心静脈穿刺後の合併症）,医療安全・外科,▶ 評価する,1
DISE-475,サルコペニアとフレイルの評価,老年期・リハ,▶ 評価する,1
DISE-481,「画像正常」と「患者の訴え」のギャップ,プロフェッショナリズム,▶ 評価する,1
DISE-501,妊娠悪阻,産婦人科,▶ 評価する,1
DISE-502,産褥期精神障害,精神科・産科,▶ 評価する,1
DISE-503,脂漏性皮膚炎,皮膚科,▶ 評価する,1
DISE-504,真珠腫性中耳炎,耳鼻咽喉科,▶ 評価する,1
DISE-505,ニューモシスチス肺炎,呼吸器・感染症,▶ 評価する,1
DISE-506,びまん性汎細気管支炎（DPB）,呼吸器,▶ 評価する,1
DISE-507,WPW症候群,循環器,▶ 評価する,1
DISE-508,再生不良性貧血,血液,▶ 評価する,1
DISE-509,びまん性軸索損傷（DAI）,脳神経外科,▶ 評価する,1
DISE-510,劇症型A群溶連菌感染症（STSS）,感染症・救急,▶ 評価する,1
DISE-511,HELLP症候群とPRES,産婦人科,▶ 評価する,1
DISE-512,産科ショック指数と弛緩出血,産婦人科,▶ 評価する,1
DISE-515,レビー小体型認知症,精神・神経科,▶ 評価する,1
DISE-516,パニック障害と広場恐怖,精神科,▶ 評価する,1
DISE-517,スティーヴンス・ジョンソン症候群,皮膚科,▶ 評価する,1
DISE-521,急性虫垂炎とマックバーニー点,消化器外科,▶ 評価する,1
DISE-524,脳梗塞とt-PA静注療法,脳神経内科,▶ 評価する,1
DISE-525,肥厚性幽門狭窄症（Ramstedt手術）,小児外科,▶ 評価する,1
PROC-001,血圧測定（水銀/電子血圧計）,全身診察,▶ 評価する,1
PROC-002,橈骨動脈の触診（脈拍測定）,全身診察,▶ 評価する,1
PROC-003,腋窩体温の測定,全身診察,▶ 評価する,1
PROC-004,呼吸数の測定（視診・触診）,全身診察,▶ 評価する,1
PROC-005,眼瞼結膜と眼球結膜の診察,頭頸部,▶ 評価する,1
PROC-006,瞳孔反射（対光反射・調節反射）,頭頸部,▶ 評価する,1
PROC-007,外眼筋運動の診察（H試験）,頭頸部,▶ 評価する,1
PROC-008,口腔・咽頭の視診,頭頸部,▶ 評価する,1
PROC-009,頚部リンパ節の触診,頭頸部,▶ 評価する,1
PROC-010,甲状腺の視診・触診,頭頸部,▶ 評価する,1
PROC-011,心臓の視診・触診（心尖拍動）,循環器診察,▶ 評価する,1
PROC-012,心臓の聴診（各弁口）,循環器診察,▶ 評価する,1
PROC-013,頚静脈の視診（頚静脈怒張）,循環器診察,▶ 評価する,1
PROC-014,肺の視診（胸郭の動き）,呼吸器診察,▶ 評価する,1
PROC-015,肺の聴診（呼吸音・副雑音）,呼吸器診察,▶ 評価する,1
PROC-016,肺の打診,呼吸器診察,▶ 評価する,1
PROC-017,触覚震盪（音声震盪）の検査,呼吸器診察,▶ 評価する,1
PROC-018,腹部の視診（膨隆・蠕動波）,腹部診察,▶ 評価する,1
PROC-019,腹部の聴診（腸雑音・血管雑音）,腹部診察,▶ 評価する,1
PROC-020,腹部の打診,腹部診察,▶ 評価する,1
PROC-021,腹部の浅い触診（筋性防御）,腹部診察,▶ 評価する,1
PROC-022,肝臓の触診,腹部診察,▶ 評価する,1
PROC-023,脾臓の触診,腹部診察,▶ 評価する,1
PROC-024,腎臓の触診,腹部診察,▶ 評価する,1
PROC-025,腹水・波動の検査,腹部診察,▶ 評価する,1
PROC-026,腰部・背部の打診（CVA叩打痛）,泌尿器診察,▶ 評価する,1
PROC-027,末梢浮腫の検査（下腿圧痕）,全身診察,▶ 評価する,1
PROC-028,腋窩・鼠径リンパ節の触診,全身診察,▶ 評価する,1
PROC-029,足背動脈・後脛骨動脈の触診,循環器診察,▶ 評価する,1
PROC-030,脳神経の診察（I〜XII）,神経診察,▶ 評価する,1
PROC-031,徒手筋力テスト（MMT）,神経診察,▶ 評価する,1
PROC-032,深部腱反射（膝蓋・アキレス・上腕）,神経診察,▶ 評価する,1
